qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;tNetto(t)(1);Statusflag;tNetto(t)(2);Statusflag;tNetto(t)(3);Statusflag
-2;0,97 Fehl Impl wMaL ;1055;0,9409 wMaL ;4949;1;-2;0,97 Fehl Impl wMaL nErf ;1003;0,9409 wMaL nErf ;4520;1 nErf ;-2;0,9409 Fehl Impl wMaL ;52;0,97 wMaL ;429;1;-2;1 Fehl Impl nErf ;64;1 nErf ;87;1 nErf ;-2;1 Fehl Impl ;64;1;95;1;-2;1 Fehl Impl ;89;0,97 wMaL ;6;1;-2;1 Fehl Impl ;176;1;10;1;-2;1 Fehl Impl ;47;1;46;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;16;1
1007;1;-2;0,97 Fehl Impl wMaL ;5123;1;918;0,97 wMaL nErf ;-2;0,97 Fehl Impl wMaL nErf ;4775;1 nErf ;89;0,97 wMaL ;-2;0,9409 Fehl Impl wMaL ;348;1;157;0,97 wMaL nErf ;-2;1 Fehl Impl nErf ;199;0,97 wMaL nErf ;227;1;-2;1 Fehl Impl ;197;0,97 wMaL ;61;1;-2;1 Fehl Impl ;56;1;131;0,97 wMaL ;-2;1 Fehl Impl ;92;1;20;1;-2;1 Fehl Impl ;31;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
-2;0,97 Fehl Impl wMaL ;-2;0,9409 Fehl Impl wMaL ;5386;0,97 wMaL ;-2;0,97 Fehl Impl wMaL nErf ;-2;0,9409 Fehl Impl wMaL nErf ;4997;0,97 wMaL nErf ;-2;0,9409 Fehl Impl wMaL ;-2;0,9409 Fehl Impl wMaL ;389;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;1 Fehl Impl nErf ;22;1 nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;19;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;76;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;97;0,97 wMaL ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;25;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
-2;0,97 Fehl Impl wMaL ;-2;0,97 Fehl Impl wMaL ;5441;0,97 wMaL ;-2;0,97 Fehl Impl wMaL nErf ;-2;0,97 Fehl Impl wMaL nErf ;4997;0,97 wMaL nErf ;-2;0,9409 Fehl Impl wMaL ;-2;0,9409 Fehl Impl wMaL ;444;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;1 Fehl Impl nErf ;63;1 nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;62;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;79;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;29;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;24;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
-2;0,97 Fehl Impl wMaL ;-2;0,9409 Fehl Impl wMaL ;5263;0,97 wMaL ;-2;0,97 Fehl Impl wMaL nErf ;-2;0,9409 Fehl Impl wMaL nErf ;4997;0,97 wMaL nErf ;-2;0,9409 Fehl Impl wMaL ;-2;0,9409 Fehl Impl wMaL ;266;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;1 Fehl Impl nErf ;73;1 nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;75;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;8;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;88;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;46;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
2009;0,97 wMaL ;-2;0,9409 Fehl Impl wMaL ;3065;1;2003;0,97 wMaL nErf ;-2;0,9409 Fehl Impl wMaL nErf ;3052;1 nErf ;6;0,97 wMaL ;-2;0,9409 Fehl Impl wMaL ;13;1;20;1 nErf ;-2;1 Fehl Impl nErf ;8;1 nErf ;20;1;-2;1 Fehl Impl ;8;1;66;1;-2;1 Fehl Impl ;94;1;73;1;-2;1 Fehl Impl ;48;1;8;1;-2;1 Fehl Impl ;14;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;57;1
-2;1 Fehl Impl ;-2;0,9409 Fehl Impl wMaL ;5354;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;0,9409 Fehl Impl wMaL nErf ;4997;0,97 wMaL nErf ;-2;1 Fehl Impl ;-2;0,9409 Fehl Impl wMaL ;357;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;1 Fehl Impl nErf ;199;0,97 wMaL nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;197;0,97 wMaL ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;17;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;97;0,97 wMaL ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;52;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
2049;0,97 wMaL ;-2;0,9409 Fehl Impl wMaL ;1322;1;2003;0,97 wMaL nErf ;-2;0,9409 Fehl Impl wMaL nErf ;1179;1 nErf ;46;0,97 wMaL ;-2;0,9409 Fehl Impl wMaL ;143;1;85;1 nErf ;-2;1 Fehl Impl nErf ;16;1 nErf ;86;1;-2;1 Fehl Impl ;4;1;35;1;-2;1 Fehl Impl ;113;1;131;0,97 wMaL ;-2;1 Fehl Impl ;23;1;12;1;-2;1 Fehl Impl ;6;1;13;1;-2;1 Fehl Impl ;-2;1 Fehl Impl 
-2;1 Fehl Impl ;-2;0,97 Fehl Impl wMaL ;5364;0,97 wMaL ;-2;1 Fehl Impl nErf ;-2;0,97 Fehl Impl wMaL nErf ;4997;0,97 wMaL nErf ;-2;1 Fehl Impl ;-2;0,9409 Fehl Impl wMaL ;367;0,97 wMaL ;-2;1 Fehl Impl nErm nErf ;-2;1 Fehl Impl nErf ;62;1 nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;64;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;30;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;97;0,97 wMaL ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;59;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;-2;1 Fehl Impl 
-2;1 Fehl Impl ;-2;0,97 Fehl Impl wMaL ;3713;1;-2;1 Fehl Impl nErf ;-2;0,97 Fehl Impl wMaL nErf ;3629;1 nErf ;-2;1 Fehl Impl ;-2;0,9409 Fehl Impl wMaL ;84;1;-2;1 Fehl Impl nErm nErf ;-2;1 Fehl Impl nErf ;7;1 nErf ;-2;1 Fehl Impl ;-2;1 Fehl Impl ;5;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;105;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;41;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;13;1;-2;1 Fehl Impl ;-2;1 Fehl Impl ;4;1
